,index,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,Afghanistan,AFG,0.0,0.0002761736842105263,0.0,0.0,0.0,0.0022154310615063247,0.012798502428494337,0.0028914269191846168,0.0,0.016397743670470942,0.01534526854219949,0.003931847968545214,0.0,0.0,0.0,0.0,0.0,0.0,0.21105527638190957,0.19400630740960795,0.19741303097667948,0.0,0.0,0.0
1,1,Albania,ALB,0.00738836221410625,0.019052514619883037,0.020511338320139016,0.04268076769991073,0.08658403645253021,0.13439916099941773,0.17096410381813276,0.1928017926846899,0.32287390029325513,0.5102977830250558,0.5396419437340154,0.5543905635648755,0.5689066475760061,0.5847133757961783,0.5979772439949431,0.6049660950334076,0.5887875942696187,0.5844388669774112,0.8216080402010052,0.7556369304233856,0.7750360493360914,0.8447903298809873,0.8743532076350339,0.9317105425366192
2,2,Algeria,DZA,0.03184046934493744,0.03778444444444444,0.08443956184135015,0.10175056197923488,0.16940889731036263,0.12891543432513958,0.12386965393955748,0.11205999710857308,0.12228739002932551,0.1171454807818444,0.12404092071611252,0.13368283093053734,0.16499936242199376,0.21146496815286625,0.2844500632111252,0.3723825017537053,0.38701880849259473,0.40864228516792156,0.6160615577889448,0.6501151361295963,0.6507484528826594,0.70540323224793,0.7540119912579178,0.0
4,4,Andorra,AND,0.6824410081073381,0.0,0.5988654396178869,0.6497894007286664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9905324796147322,0.953448223642366,0.933040516314091,0.0,1.0,1.0,1.0,1.0,0.0
5,5,Angola,AGO,0.0068022638381640636,0.007954035087719297,0.014142559035573661,0.013653399762236666,0.013429725980934372,0.0,0.0,0.0,0.0008797653958944257,0.0,0.0,0.0,0.029069026072085797,0.09044585987261146,0.1815714285714286,0.17089297174669038,0.14780264712118,0.14939643838890881,0.36432160804020103,0.35416512802762823,0.3930525633652914,0.4026379829068932,0.4158680432447307,0.0
6,6,Antigua and Barbuda,ATG,0.41975742740953714,0.5204263157894736,0.6648122912119752,0.827569464233258,0.9038051164605251,0.7091307408749223,0.6007993793847815,0.4669654474483157,0.5302052785923753,0.5207923389741572,0.5652173913043479,0.6199213630406291,0.6802400659197403,0.732484076433121,0.7683944374209861,0.7678989865822899,0.7511282066814066,0.7493725349587667,1.0,0.9171207259363285,0.9321725304058983,0.9273303336084561,0.9674743743749041,0.0
7,7,Argentina,ARG,0.45579040070453547,0.5719771929824561,0.5787328953313172,0.5709611160934086,0.5959440810519422,0.4546386513460567,0.40953858607663246,0.35053635969350877,0.38522873900293253,0.4158467794831431,0.5396419437340154,0.6068152031454783,0.6517594240178547,0.6878980891719745,0.729456384323641,0.743559797614961,0.7265227004270526,0.7266033225767897,0.9761306532663317,0.8812626283224958,0.9174813530517478,0.9281471817673528,0.9353329346830995,1.0
8,8,Armenia,ARM,0.08421205998912114,0.09538538011695905,0.10405974777305808,0.2166524309521415,0.17930445731141154,0.11270806690612774,0.08710094272800863,0.06247289287263264,0.06407624633431085,0.1705365341728978,0.28388746803069054,0.3577981651376147,0.4148522663794437,0.4585987261146497,0.6020581542351454,0.6323388208136198,0.6462852469939728,0.6124644436476634,0.8573505025125628,0.7335191090701255,0.8208487472855708,0.8372139833328897,0.8152330251731746,0.0
9,9,Aruba,ABW,1.0,1.0,1.0,1.0,0.8564277802743516,0.6652499572847995,0.5586380194279547,0.42214833020095416,0.7354838709677418,0.7306834579561853,0.7570332480818415,0.8427260812581914,0.8873720070243619,0.9299363057324841,0.9706700379266752,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
